,Tokens,True_Pos_Full,True_Pos
0,The,determiner,DT
1,previous,adjective,JJ
2,master,noun,NN
3,will,modal verb,MD
4,never,adverb,RB
5,have,verb,VB
6,been,verb past participle,VBN
7,defeated,verb past participle,VBN
8,.,punctuation,.
9,That,?possesive pronoun,PRP
10,will,modal verb,MD
11,be,verb,VB
12,the,determiner,DT
13,end,noun,NN
14,of,preposition,IN
15,it,?possesive pronoun,PRP
16,.,punctuation,.
17,There,existential there,EX
18,would,modal verb,MD
19,be,verb,VB
20,time,noun,NN
21,to,,
22,talk,verb,VB
23,later,adjective,JJ
24,hours,noun plural,NNS
25,and,conjunction,CC
26,days,noun plural,NNS
27,and,conjunction,CC
28,maybe,adverb,RB
29,years,noun plural,NNS
30,in,preposition,IN
31,which,pronoun,PRP
32,to,preposition,IN
33,talk,verb,VB
34,.,punctuation,.
35,We,personal pronoun,PRP
36,did,verb past tense,VBD
37,it,personal pronoun,PRP
38,we,personal pronoun,PRP
39,bashed,verb past tense,VBD
40,them,personal pronoun,PRP
41,wee,adjective,JJ
42,Potter,proper noun,NNP
43,is,verb 3rd person singular present,VBZ
44,the,determiner,DT
45,one,noun,NN
46,And,conjunction,CC
47,Voldy,personal noun,NNP
48,has,verb 3rd person singular present,
49,gone,verb past participle,VBZ
50,moldy,adjective,JJ
51,so,conjunction,CC
52,now,adverb,RB
53,let,verb non-3rd person singular present,VBP
54,us,personal pronoun,PRP
55,have,verb,VB
56,fun,noun,NN
57,!,punctuation,.
58,But,conjunction,CC
59,it,pronoun,PRP
60,was,verbe past tense,VBD
61,applause,noun,NN
62,.,punctuation,.
